subid,tier
22248125,1
29511564,6
29462488,2
23350558,8
27198733,7
21361469,8
28272388,1
25802916,4
22945258,2
25448574,8
26785621,8
25305807,6
28484736,7
22647410,7
26845526,3
23599172,4
28495854,6
29012274,5
27820300,8
21286277,8
25883882,7
24694771,5
28760294,8
27492214,5
21718655,1
24327945,4
22007043,1
29506543,8
21958396,8
24375035,4
20044761,5
29239729,5
20450305,7
27482889,8
21928101,8
25313611,4
27067100,6
29790102,8
23444985,5
28982887,4
26297443,3
24694125,8
27838107,8
27242678,1
26186527,7
20151749,6
24129855,3
23417937,6
21466664,7
24117947,6
25729781,6
27621459,5
21035247,1
25770549,8
23508025,2
23963354,8
28205318,6
23328750,3
25235644,8
23836292,2
26729896,8
29298484,8
26792758,8
28805976,4
20260812,8
22966702,4
20095340,8
29849805,8
27107402,7
28666872,8
25196252,4
21063918,1
26627535,6
26523181,6
27142373,8
23935914,8
20326333,8
21875367,5
24237424,7
26536301,8
29741082,5
27989108,3
24996607,3
23784751,8
27645056,6
24401590,2
27760282,2
25237946,5
26156763,6
20119459,3
28953796,8
28111855,1
20175042,8
27969431,7
24140775,7
27596077,7
20398904,3
24577335,8
20149975,5
26536954,4
21700009,7
22813306,1
25923307,8
20194418,3
29834801,8
27378274,7
25106700,6
28002902,7
22687370,6
26718832,6
29355282,7
20134314,4
22329773,7
29073039,7
21955577,2
26042566,4
27446484,3
23401457,3
27869856,5
26862286,8
23055222,6
23312839,8
20891328,1
26653334,1
26496371,6
20499700,1
24671113,8
27166034,7
29408978,3
24809786,5
22375059,6
23201162,2
22095255,6
26487552,6
28030874,8
28295090,1
26904884,7
28426211,3
25128852,8
25790486,1
25071983,2
28728484,3
25679207,7
23568638,1
21395216,8
20666948,8
25848586,8
24462798,1
27825780,3
27719804,8
29177853,1
20443804,3
25113241,4
25584979,3
24421897,8
28941837,4
23917942,6
27718921,6
22093301,4
21532905,6
26080299,4
20326821,7
27874386,8
27239116,3
28814018,8
23682371,8
24212107,7
23341276,6
27163968,3
25459357,6
21136188,6
21011705,1
27266127,4
26203310,1
28721661,3
25595938,5
27170478,5
20675038,7
26630911,6
25376214,6
26603490,8
21914592,6
23384764,6
22223127,7
26972056,5
20516462,1
24846669,3
29983511,7
28160898,6
28649641,4
25207338,8
20687421,3
25339149,8
20861752,4
27000638,4
29890427,6
28831079,8
22512992,5
23680504,5
24354015,3
25831039,6
29741908,1
20893459,6
21110404,7
29451111,8
20841728,2
27285026,4
20624097,2
28909703,8
20130959,7
22181295,6
29474706,1
29124879,7
25190148,8
25815017,7
25417680,7
28473843,8
24337286,5
24670043,6
20928455,3
23081929,1
24490536,8
20526334,4
25266910,8
28542396,8
23372572,6
23846989,3
23756987,5
25129484,4
22820708,7
26005536,3
22906041,2
22677274,5
29167075,8
22588978,1
25593229,5
20845541,7
28783679,6
24865323,8
23018543,8
27034473,8
28285787,8
28231575,1
27085210,7
24525003,5
22761831,7
26678554,8
28522814,6
23618865,3
27736212,5
20508498,5
25958171,1
20794279,5
22827904,8
26460949,4
22535771,6
26707219,4
21252918,7
28308624,7
24830696,3
22622244,5
28101280,8
26440967,1
22441880,7
28638595,1
22217979,4
23656254,5
26495104,1
25850526,6
25251693,8
22490184,8
28089408,3
26033028,2
23940604,8
21576748,6
29274793,8
20439871,3
22960616,4
23735404,1
27029725,7
20700229,3
21558926,5
29915835,7
27803957,4
27695374,8
29630629,8
22129649,1
26809145,7
21941002,8
21234161,7
23466245,2
29914246,6
23533621,6
22594335,8
26220117,4
23332931,2
22404409,6
23529224,8
20401191,7
22040373,4
21508464,7
25704500,4
28786647,4
21940333,7
25085669,8
26207211,1
29975023,4
28356568,6
29662518,4
29788807,7
26150555,6
21360204,1
25749271,2
20263186,7
23261331,8
29256998,6
20233257,6
20174777,7
21934625,8
27743951,4
20027110,8
23364087,1
29349443,6
24674489,5
24981612,3
23844103,7
24175537,8
22878935,8
29470868,3
20885542,5
25967412,7
20028638,4
25344118,5
20032027,8
24022771,8
26196506,7
26549985,8
28836756,4
21461479,7
27636272,8
22137220,1
29976828,8
26801431,1
27135869,8
22061893,4
28890689,4
24106036,1
23413087,8
24334272,3
23333067,6
22494921,3
28078749,6
26572676,6
21876402,7
25594581,2
27634698,2
20978241,6
24925321,6
27708256,2
27423917,2
21507519,8
20014806,8
23601044,1
22306861,5
28934495,2
27401586,7
22972686,5
24460360,7
20749931,6
22801457,8
26440869,8
28042539,7
26620377,1
25306689,4
29437417,5
20778731,1
26079585,1
27907732,8
28937920,8
27214374,5
23178279,7
27094215,2
26175161,6
24317790,8
28944539,6
24259381,1
22233550,8
20003789,8
26213199,2
26654025,5
29953588,8
28361986,7
22596072,6
20933489,5
20448032,2
26898960,4
24386963,7
26967746,5
28359133,5
28937971,2
25311088,6
20593821,5
26597621,4
21570006,8
27582568,5
25467465,6
25178808,8
22861977,8
23242906,7
25845644,5
26523592,6
29645648,1
29057250,7
25451599,8
24979985,8
21010726,4
21752211,4
29523130,7
23016588,8
26253662,5
22052399,6
23840768,8
23016142,5
21582175,4
28009723,6
20535561,6
23104336,4
29050533,3
27840940,8
23173755,1
22387589,8
21442485,7
24830914,7
27972303,8
28545220,8
24192256,7
27848102,8
22756785,7
29015043,8
26661715,3
28860790,1
21470552,7
20680889,4
29194603,5
22443438,8
28334309,8
29979403,1
28094665,7
25350457,3
26907451,4
29352080,4
27976067,6
27337848,1
25287278,4
27880471,5
20941473,3
26106209,7
25060884,3
24132460,8
24851066,4
25543895,8
25138391,5
29844951,8
26839612,8
20089659,2
23371332,1
23850772,6
22644529,3
28450433,6
28986950,4
25334573,1
21785671,4
25467208,5
29026431,4
24433368,1
26715867,2
27016201,7
22844527,7
21330295,7
24161125,7
22090840,7
24285854,3
21488025,8
28050519,1
26904670,4
23694457,2
28984755,4
24832132,3
22069652,7
27519562,6
26783124,5
24208364,4
25217987,7
21497005,6
23013454,5
28481893,1
27653516,3
28318612,8
20478552,8
21319949,4
24712436,8
21716147,8
20916749,8
24375030,6
20998544,7
23755345,7
27767372,4
29466739,8
23916153,8
22216575,6
29123499,3
27528034,8
21170488,5
26096893,8
22361364,7
20290979,4
27692414,1
29672048,6
26864465,1
26589097,7
25403432,3
20689028,1
25518377,3
28129422,3
29127636,3
27063885,1
25950444,7
26005352,4
26998753,8
27823017,4
25858533,6
23257571,1
27972965,7
23263759,6
25629084,7
21487610,3
25553476,8
22629029,6
28380788,8
28935485,3
22066293,4
29248228,8
29627975,1
22692312,2
22702054,5
29519961,6
22834535,1
24955595,7
24252031,2
28953294,8
29385212,1
23642455,2
26970619,1
22537851,6
28556816,5
22271970,7
27796992,6
23955531,3
24666527,7
21460259,3
25630353,8
23283937,4
27758085,5
24892702,1
27212299,6
26593962,8
27883981,5
28553641,6
28807552,4
28564465,1
22836001,8
22524613,6
25937647,2
23152740,7
20437804,6
28802287,8
20628118,7
23752763,8
26107743,4
27066729,4
28148371,6
24352466,6
27272650,5
25372812,7
22695212,6
29531343,3
26801979,7
29340523,4
28490032,5
25624635,4
28770971,5
23264071,7
20754663,1
26666455,7
27410662,3
29207016,3
27150511,8
23533091,2
26771338,7
24906038,5
23449282,8
25522427,1
23861354,2
27280002,5
23743222,7
27879298,6
29653329,7
21674522,8
26795443,8
26999719,7
21360608,8
27720003,3
24783337,1
21477104,2
27472910,2
27387329,6
28881191,6
20286356,1
25774128,6
24682058,8
22533461,7
20752202,4
20485195,1
28201361,8
22915753,6
23112621,5
21400387,1
28008109,4
20479226,2
29245325,3
26525833,6
29471888,8
23078287,8
23094540,6
29097089,8
21570936,6
24748195,8
27848496,2
22999746,8
21031781,8
28511958,6
23651072,8
24667464,5
28933030,2
24789851,6
28668773,8
27319917,1
27021800,8
24032659,8
25454588,7
28479076,4
28704304,3
21285540,6
29302493,1
27175466,8
23974638,4
26559143,4
27727544,5
27977839,7
21044400,1
28244422,6
22395468,5
28639554,6
20972180,1
26884387,1
26620850,7
20115786,3
25120138,8
22399596,3
25136329,7
22775198,4
25905315,5
23144850,8
20653280,5
24071498,2
22626192,6
28722492,7
25091847,2
